user_id,song_id,play_count
1,1,1
1,2,1
1,3,2
1,4,1
1,5,1
1,6,1
1,7,2
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,5
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,1
1,35,5
1,36,1
1,37,1
1,38,1
1,39,5
1,40,1
1,41,1
1,42,1
1,43,1
1,44,1
1,45,1
1,46,1
1,47,6
1,48,1
1,49,1
1,50,6
1,51,2
1,52,1
1,53,1
1,54,1
1,55,1
1,56,5
1,57,1
1,58,1
1,59,1
1,60,1
1,61,1
1,62,1
1,63,1
1,64,1
1,65,1
1,66,1
1,67,1
1,68,1
1,69,1
1,70,1
1,71,1
1,72,1
1,73,1
1,74,1
1,75,1
1,76,2
1,77,1
1,78,1
1,79,1
1,80,1
1,81,1
1,82,1
1,83,1
1,84,2
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
1,98,1
1,99,1
1,100,1
1,101,8
1,102,1
1,103,1
1,104,1
1,105,1
2,106,2
2,107,1
2,108,1
2,109,2
2,110,2
2,111,2
2,112,1
2,113,2
2,114,3
2,115,2
2,116,2
2,117,2
2,118,1
2,119,1
2,120,1
2,121,1
2,122,3
2,123,2
2,124,2
2,125,2
2,126,3
3,127,1
3,128,1
3,129,1
3,130,1
3,131,2
3,132,2
3,133,1
3,134,1
3,135,1
3,136,2
3,137,1
4,138,6
4,139,1
4,140,5
4,141,5
4,142,5
4,143,5
4,144,11
4,145,5
4,146,5
4,147,5
4,148,5
4,149,5
4,150,15
5,151,2
5,152,1
5,153,9
5,154,2
5,155,1
5,156,1
5,157,2
5,158,1
5,159,1
5,160,6
5,161,10
5,162,8
5,163,2
5,164,1
5,165,1
5,166,10
5,167,1
5,168,1
5,169,9
5,170,1
5,171,2
5,172,1
5,173,1
5,174,1
5,175,1
5,176,10
5,177,1
5,178,2
5,179,1
5,180,1
5,181,1
5,182,1
5,183,1
6,184,2
6,185,6
6,186,6
6,187,4
6,188,13
6,189,6
6,190,4
6,191,2
6,192,4
6,193,4
6,194,1
6,195,3
6,196,3
6,197,5
6,198,5
6,199,3
6,200,1
6,201,8
6,202,18
6,203,12
7,204,2
7,205,2
7,206,1
7,207,2
7,208,2
7,209,2
7,210,1
7,211,3
7,212,4
7,24,3
7,213,5
7,214,1
7,215,2
7,216,1
7,217,2
7,218,2
7,219,2
7,220,2
7,221,1
7,222,9
7,223,2
7,224,1
7,225,1
7,226,2
7,227,1
7,228,3
7,229,3
7,230,3
7,231,11
8,232,2
8,233,2
8,234,2
8,235,2
8,236,4
8,237,2
8,238,2
8,239,2
8,240,3
8,241,3
8,242,2
8,243,1
9,244,5
9,245,1
9,246,4
9,247,2
9,248,6
9,249,2
9,250,3
9,251,6
9,252,2
9,253,2
9,254,2
9,255,16
9,256,5
9,257,2
10,258,3
10,259,1
10,260,3
10,261,1
10,262,1
10,263,1
10,264,3
10,265,1
10,266,2
10,267,2
10,206,3
10,268,1
10,269,1
10,270,1
10,271,2
10,272,2
10,273,2
10,274,2
10,275,1
10,276,2
10,277,1
10,278,1
10,279,1
10,280,3
10,281,2
10,282,1
10,283,1
10,284,1
10,285,1
10,286,1
10,287,1
10,288,3
10,289,1
10,290,3
10,291,3
10,292,1
10,293,1
10,294,1
10,295,1
